#lnL 	x[] 	 df 
425242.617315	[-3.40119738]	0.0
425242.617315	[-3.40119737]	0.0
425207.616361	[-4.40119738]	0.0
425207.616362	[-4.40119737]	0.0
425386.591832	[-8.40119738]	0.0
425386.591831	[-8.40119737]	0.0
425198.223424	[-4.81824001]	0.0
425198.223424	[-4.81824]	0.0
425212.173405	[-5.58467525]	0.0
425212.173405	[-5.58467524]	0.0
425197.37939	[-4.96191678]	0.0
425197.37939	[-4.96191677]	0.0
425197.376412	[-4.9714405]	0.0
425197.376412	[-4.97144049]	0.0
425197.3764	[-4.97061561]	0.0
425197.3764	[-4.9706156]	0.0
-398920.102367	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	0.0590668974917	-3.40119738166	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398920.102367	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	0.0590669074917	-3.40119737166	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398926.792271	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	-0.940933102508	-4.40119738166	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398926.792271	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	-0.940933092508	-4.40119737166	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398920.021084	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	-0.0574682101181	-3.51773248927	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398920.021084	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	-0.0574682001181	-3.51773247927	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398920.016406	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	-0.0904020448774	-3.55066632403	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398920.016406	-0.727722862802	-0.54815417312	-0.770747924606	2.19845385642	-0.505166555068	2.08732022876	-0.0904020348774	-3.55066631403	-16.4389157654	-3.11496634801	-3.79347568765	-3.20810321765	-5.22953899633	-6.05898510532	-5.69403904527	-5.46316515043	-6.01269889184	-5.30024483097	-5.44361993692	-5.79406212751
-398920.101799	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	0.0590595741855	-3.40119738166	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.101799	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	0.0590595841855	-3.40119737166	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398926.791127	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.940940425815	-4.40119738166	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398926.791127	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.940940415815	-4.40119737166	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.020227	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0583470388253	-3.51860399467	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.020227	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0583470288253	-3.51860398467	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.016985	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.106800561655	-3.5670575175	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.016985	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.106800551655	-3.5670575075	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015775	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0902404968905	-3.55049745274	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015775	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0902404868905	-3.55049744274	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015844	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0943805130816	-3.55463746893	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015844	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0943805030816	-3.55463745893	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015778	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.091195896829	-3.55145285268	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015778	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.091195886829	-3.55145284268	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015776	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0907113795865	-3.55096833543	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
-398920.015776	-0.727763699543	-0.548158827763	-0.770747241925	2.19847489541	-0.50516823074	2.08731420875	-0.0907113695865	-3.55096832543	-16.4389157683	-3.11494689666	-3.79347718465	-3.20809182263	-5.22954258574	-6.05897771403	-5.69404000534	-5.46314295537	-6.01267369647	-5.30024939403	-5.44360815784	-5.7940591235
